PRIMARY,NAME,CATEGORY,QTY,UNIT PRICE,PRICE AUD
03-nov-2024.pdfsms,03-Nov-2024.pdf,SMS,33330.0,0.08,2666.4
03-nov-2024.pdfaddon forms,03-Nov-2024.pdf,Addon Forms,10.0,0.35,3.5
03-sep-2024-stripe.pdfstripe,03-Sep-2024-stripe.pdf,stripe,1.0,0.76,0.76
03-sep-2024.pdfjobs,03-Sep-2024.pdf,Jobs,1553.0,0.35,543.55
03-sep-2024.pdfsms,03-Sep-2024.pdf,SMS,27739.0,0.08,2219.12
03-sep-2024.pdfaddon forms,03-Sep-2024.pdf,Addon Forms,10.0,0.35,3.5
04-jun-2025-stripe.pdfstripe,04-Jun-2025-stripe.pdf,stripe,1.0,1.43,1.43
04-jun-2025.pdfjobs,04-Jun-2025.pdf,Jobs,3033.0,0.35,1061.55
04-jun-2025.pdfsms,04-Jun-2025.pdf,SMS,40773.0,0.08,3261.84
04-jun-2025.pdfaddon forms,04-Jun-2025.pdf,Addon Forms,10.0,0.35,3.5
